location_id,location_type,location_name,lat,long
193,college,Embry-Riddle Aeronautical University - Norfolk,36.9436567554362,-76.3036268399213
194,college,"FROM safest_counties_per_location_type('college', 2014)",37.2446734883589,-81.2465660105813
195,college,Randolph-Macon College,37.7628588520461,-77.4786383672638
196,college,Bryant and Stratton College - Hampton Campus,37.0438208031887,-76.3928736477283
197,college,Old Dominion Universty - Tri-Cities Higher Education Center,36.9039228346742,-76.4356195403486
198,college,George Washington University  - Advanced Technology Center,36.7870792723994,-76.1018267513661
199,college,National College - Danville Campus,36.5881717476363,-79.4219451822558
200,college,University of Phoenix - Virginia Beach,36.8411878279002,-76.1335581873871
201,college,Institute for the Psychological Sciences,38.8558581599626,-77.0514203880843
202,college,University of the Potomac,38.917276867909,-77.2375043285729
203,college,Virginia Tech - Hampton Roads Center,36.8928615667473,-76.1770538894021
204,college,Roanoke College,37.2958395780057,-80.055425102955
205,college,Christopher Newport University,37.0635191570662,-76.494351013637
206,college,George Mason University - Arlington Campus,38.885279938497,-77.1011582395651
207,college,theatre,37.5622017392934,-77.4499486555409
208,college,Roanoke Higher Education Center,37.2745067505656,-79.9408663036906
209,college,Northeast State at Bristol,36.5949701201274,-82.1843157330792
210,college,Germanna Community College - Fredericksburg Campus,38.2318252832916,-77.4930205431846
211,college,Ferrum College,36.9270091738682,-80.0216344713846
212,college,Aviation Institute of Maintenance - Manassas Campus,38.7927439379114,-77.5139187828677
213,college,George Washington University - Virginia Science and Technology Campus,39.0575418194917,-77.4433878404061
214,college,Virginia College,37.5031409499397,-77.5297813796818
215,college,Lincoln Memorial University - DeBusk Veterinary Teaching Center,36.6344210743271,-83.4836377832367
216,college,American National University,37.299753621597,-80.0236126793195
217,college,Centura College - Newport News Campus,37.1375904386179,-76.5215994135208
218,college,University of Virginia Eastern Regional Center at Newport News,37.0831350436781,-76.4794900689075
219,college,Strayer University - Manassas,38.8046259293415,-77.5197968891664
220,college,Southside Virginia Community College - John H. Daniel Campus,37.0355519692325,-78.4578023889752
221,college,Strayer University - Newport News,37.0846543968749,-76.4641508862735
222,college,Northeast State at Elizabethton,36.3436106644781,-82.2154591247287
223,college,Stratford University - Richmond Campus,37.6490694180165,-77.5988898632472
224,theater,New Playwrights Theatre,38.9101115,-77.039977
225,theater,Folger Theatre,38.8894492,-77.0023852
226,theater,Horizons Theatre,38.903758,-77.062453
227,theater,Departmental Auditorium,38.8926119,-77.0299767
228,theater,Fort Dupont Summer Theater,38.8810253,-76.9568065
229,theater,Atlas Performing Arts Center,38.9000102,-76.9874009
230,theater,Senator Theater,38.8945,-76.9499
231,theater,Ira Aldridge Theatre,38.9241667,-77.0211111
232,theater,Cramton Auditorium,38.9244444,-77.0211111
233,theater,McNeir Auditorium,38.9075028,-77.0741338
234,theater,Elstad Auditorium,38.9051508,-76.9932867
235,theater,Shakespeare Theatre Company - Lansburgh Theater,38.8957339,-77.0221317
236,theater,Chevy Chase Theater,38.9637217,-77.0749778
237,theater,Tivoli Theatre,38.9306003,-77.0324496
238,theater,National Theatre,38.8963541,-77.0304994
239,theater,Warner Theatre,38.8965108,-77.0293531
240,theater,Andrew W Mellon Auditorium,38.8926119,-77.0296989
241,theater,Gala Hispanic Theater,38.9309279,-77.0324431
242,theater,Heights Playhouse,39.0262205,-77.1630351
243,theater,Roundhouse Theater Company,39.05622,-77.0788671
244,theater,Gibson Center and Tawes Theatre,39.2175,-76.0697222
245,theater,Avrum Gudelsky Memorial Auditorium,39.0458333,-76.8502778
246,theater,Mechanic Theater (Historic),39.2890382,-76.6160479
247,theater,Merrick Lecture Hall,39.4091071,-76.5955759
248,theater,Kraushaar Auditorium,39.4088487,-76.5956595
249,theater,Coal Miners Memorial Theater,36.96403,-82.95189
250,theater,Lakewood Music And Dance Center,36.8895525,-76.2641089
251,theater,Studio Theatre,36.7736111,-81.8291667
252,theater,Harris Theatre,38.831021,-77.3086304
253,theater,James D Francis Auditorium,38.1513889,-79.0691667
254,theater,Kimball Theatre,37.2707022,-76.7066237
255,theater,King Memorial Auditorium and Gymnasium,38.152076,-79.0716959
256,theater,Culbreth and Helms Theatre,38.0399346,-78.5044745
257,theater,Thoresen Theatre,37.4375858,-79.1707755
258,theater,Morris and Dorothy Haskins Ariel Theatre,38.8085602,-82.2046386
259,theater,Bethesda Theatre,38.9872748,-77.0945738
260,theater,Montgomery College Performing Arts Center,38.9870259,-77.0262729
261,theater,Imagination Stage,38.9896779,-77.0994567
262,theater,Round House Theatre,38.9851278,-77.0924343
263,theater,Jiffy Lube Live,38.7854145,-77.5902378
264,theater,Earl Hamner Theater,37.9233902,-78.8425056
265,theater,Rosslyn Spectrum,38.8950706,-77.0691333
266,theater,Maison Francaise,38.9136613,-77.0779419
267,theater,Avalon Theatre,38.9652866,-77.0761285
268,theater,Woolly Mammoth Theatre Company,38.8949849,-77.0215312
269,theater,Studio Theater,38.9098424,-77.0314599
270,theater,Lincoln Theatre,38.9172457,-77.0289788
271,theater,Letelier Theater,38.906235,-77.063713
272,theater,Fred And Anita Scott Amphitheater,38.8293415,-77.6703639
273,theater,Brown's Isle Amphitheater,37.5338839,-77.4411725
274,theater,Gatehouse Stage,39.0024971,-76.585612
275,theater,AFI Silver Theatre and Cultural Center,38.9965784,-77.0274206
276,theater,Mall Theater,38.1245022,-79.0624211
