name,@lat,@lon
The Spot,37.3378165,-79.2379981
Tropical Smoothie Cafe,38.8380078,-77.4382086
bluberi,38.6301679,-77.2880611
Starbucks,38.6283156,-77.2878197
Le Bon Cafe,38.8870439,-77.0033429
Starbucks Coffee,38.8486053,-77.3529069
Bombay Cafe,38.8501596,-77.3339776
Starbucks,38.8716083,-77.2612166
The Colonial Cafe,39.0546707,-77.4438320
Starbucks,38.9168769,-77.0369397
Starbucks,39.2869000,-76.6127030
Main Street Cafe and Bakery,37.1098987,-79.2884428
Starbucks,39.2769310,-76.8308630
Starbucks,38.8032524,-77.0652871
Blue Sky,37.7852722,-79.4443170
Hillel Cafe,37.7861434,-79.4429463
Pret à Manger,38.9000714,-77.0317406
Pret A Manger,38.9023037,-77.0334144
Corner Bakery Cafe,38.9027686,-77.0332986
Au Bon Pain,38.9042355,-77.0298419
Pitango,38.8952108,-77.0216721
Woodward Takeout Food,38.9000365,-77.0331817
Zoup,38.9039455,-77.0322404
Lawson's Cafe,38.8981165,-77.0291911
Dunkin' Donuts,39.2221297,-76.8894442
The Koffee Cup,37.3153698,-79.2628312
Starbucks Coffee Company,38.9965715,-77.2872098
Starbucks,37.4175432,-77.6387890
Starbucks,37.8414190,-77.4456764
Starbucks,37.4030635,-77.6758968
Caffe Gelato,39.6837957,-75.7499759
Stardust Cafe,37.8018921,-80.4451025
Jostin Cafe,39.2069470,-76.9446670
Zu Coffee,39.0397153,-76.6804977
Kogod's New York Deli,38.8959544,-77.0108582
Starbucks,38.9054447,-77.0061889
Starbucks,38.9670064,-77.3763266
KSB Cafe of New York,38.9260567,-77.3758169
Main Street Daily Grind,38.9175817,-78.1911701
Anthony's Desserts,36.7087837,-81.9797499
Shelbee's Vintage Cafe,36.5947960,-82.1820971
Starbucks,39.0335747,-76.6827110
ZABB's Beach Day Cafe,38.1495050,-79.0741049
Charmington's,39.3193978,-76.6197215
Mugshots Coffeehouse & Cafe,38.1486588,-79.0715855
Pampered Palate Cafe,38.1494825,-79.0718045
City Cafe,39.3011182,-76.6173775
Starbucks,39.2751926,-76.5662617
Sofi's Crepes,39.3094392,-76.6162905
The By & By,38.1495762,-79.0706041
Cranberry's Grocery & Eatery,38.1494100,-79.0714279
700 Deli & Cafe,39.2039925,-76.6804619
Starbucks,39.1128480,-77.5351090
Starbucks,37.1366323,-80.5485039
Tropical Smoothie Cafe,39.1375391,-77.7057929
Espress Oasis,37.2285067,-80.4190091
Zazzy'z,36.7135224,-81.9650058
Au Bon Pain,37.2283857,-80.4176892
Starbucks,37.1050458,-76.5084754
Starbucks,39.2840156,-76.6018093
Mudhouse,37.9998133,-78.4977400
Zu Coffee,38.9493378,-76.4868981
IceBerry,38.8942697,-77.0786854
Roti,38.8949923,-77.0740939
Starbucks,38.7499686,-77.0847038
Starbucks,38.6973075,-77.1429202
Dunkin' Donuts,38.9741512,-76.5251677
Starbucks,38.8695619,-77.1448158
Herbs by the Curb,39.5556186,-76.1671659
Starbucks,38.9227300,-77.0429330
Starbucks,38.6855996,-77.3115984
Takoma Beverage Company,38.9741537,-77.0123738
Starbucks,37.6732268,-77.4627298
Freshii,37.6683480,-77.4600514
Starbucks,37.0489661,-76.3918947
Whit's Frozen Custard,39.3276609,-82.1015403
Starbucks,39.0772170,-76.8695430
Carmen's Italian Ice,39.0918756,-77.1743336
Dunkin' Donuts,39.1168426,-77.2525274
Sweet Stuff Cafe,38.9719552,-76.3287033
Cascades Cafe,38.8911079,-77.0183337
Starbucks Coffee,39.4584930,-76.3179880
Starbucks,39.2541956,-76.7130501
Kissel Stop,38.9253573,-79.8496590
The Daily Grind,38.9938628,-80.2302055
Feast!,38.0302659,-78.4869985
Calvino Italian Bar and Eatery,38.0302689,-78.4870984
Starbucks,39.4642798,-76.6358222
India Breads,39.2851165,-76.7572410
Green Lizard Cycling and Cafe,38.9702797,-77.3852137
Starbucks,37.3023383,-79.9585321
Dunkin' Donuts,39.4638623,-76.6359079
Goldberg's New York Bagels,39.4556348,-76.6307527
Dooby's,39.2988905,-76.6158997
Mug N' Muffin,38.9394800,-77.5476928
Sweetz Bakery,39.1125665,-77.5339381
Starbucks,39.4386397,-77.5254578
Starbucks,38.8574520,-77.3811531
Isis Cafe,38.9775121,-77.4106158
Bagel Cafe,38.9675490,-77.3722045
Rita's Cafe,38.9210446,-77.2282824
Dunkin' Donuts,37.6515843,-77.6167295
Daily Grind,37.6520912,-77.6185090
Starbucks,37.6521886,-77.6209628
Menchie's Frozen Yogurt,37.6516525,-77.6212150
Boulevard Cafe,38.9234990,-77.2277566
Starbucks,37.5671486,-77.5386896
Starbucks,39.1598481,-77.2793770
Holy Crepe,39.2799936,-76.5743269
Avenue Cafe,39.4004967,-76.6049530
Starbucks,37.5300994,-77.4218545
Panera Bread,39.0103948,-77.4923723
Starbucks,39.3955168,-76.6040952
FirstWatch,39.4442330,-76.6269500
,39.2160422,-76.8558589
,36.8692101,-75.9807538
Campono,38.8975518,-77.0551384
Killer ESP,38.8054847,-77.0508986
Hawwi Ethiopian Café and Restaurant,38.8081529,-77.0518257
Saints Paradise Cafeteria,38.9058228,-77.0207195
Waffle Shop,38.8402570,-77.0630460
Pot Belly Sandwich Shop,38.8815594,-77.1122493
Cosi,38.8817062,-77.1119245
Starbucks,38.8719668,-77.2612694
La Colombe,38.9065312,-77.0249182
Cafe Phillips,38.9014320,-77.0217030
West Wing Cafe,38.9052759,-77.0324907
