X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-76.040299302298635,36.741183042009659,492,24033866590000,Fox Fire Park,2471 ESPLANADE DR,,3438713.54093272,12203578.7704667,36.74118304,-76.0402993,City Park,
-76.163446694568492,36.852842195053732,493,14676854160000,Grand Lakes Park,421 INDIAN SUMMER LN,,3478437.91948904,12166499.5949533,36.85284219,-76.16344669,City Park,
-76.034535965658947,36.856753157440465,494,24084017880000,Gloucester Park,1910 LONG BRIDGE LN,,3480820.5515348,12204168.1961251,36.85675316,-76.03453597,City Park,
-76.039904836786022,36.871062838298869,495,24082559020000,Great Neck Farms Park,1210 MOOREFIELD CT,,3485987.7459248,12202462.1814926,36.87106284,-76.03990484,City Park,
-76.033935956626181,36.862394776191394,496,24084228540000,Great Neck Meadows Park,781 OLD CUTLER RD,,3482878.46310139,12204290.0334799,36.86239478,-76.03393596,City Park,
-76.058726850658616,36.888393726601379,497,14996081840000,Broad Bay Estates Park,2548 Falcon Crescent,,3492152.63812254,12196795.0707796,36.88839373,-76.05872685,City Park,
-76.114149411038952,36.797156993585297,498,14851855990000,Green Run Park,1877 LYNNHAVEN PKWY,,3458530.99604838,12181431.3055754,36.79715699,-76.11414941,City Park,
-76.081959328471527,36.846211579736412,499,14970646320000,Groveland Park,409 N LYNNHAVEN RD,,3476624.94837746,12190396.2486035,36.84621158,-76.08195933,City Park,
-76.148171575288984,36.877546782033512,500,14780786710000,Haygood Point Park,4775 HAYGOOD POINT RD,,3487540.66309455,12170743.5096938,36.87754678,-76.14817158,City Park,
-76.140255575191247,36.894749563411693,501,14792398050000,Hermitage Park,4730 ANDREW JACKSON LN,,3493859.75380279,12172901.6339865,36.89474956,-76.14025558,City Park,
-76.068369792719778,36.775657707946216,502,14955100570000,Holland Oaks Park,2962 SUGAR MAPLE DR,,3451048.01560755,12195033.0296842,36.77565771,-76.06836979,City Park,
-76.083985159692929,36.783246376420294,503,,Brigand'S Quay Park,1777 BRIGANDS WY,,3453692.61530522,12190390.2870012,36.78324638,-76.08398516,City Park,
-76.053650043389965,36.76548356012983,504,14949744850000,Holland Woods Park,,,3447456.37941813,12199438.8040091,36.76548356,-76.05365004,City Park,
-76.094385271944148,36.814234290949969,505,14867418360000,Holly Green Park,3418 WALTHAM CIR STE B,,3464893.4042553,12187058.0544925,36.81423429,-76.09438527,City Park,
-76.020030664848719,36.76617166533876,506,24049729650000,Hunt Club Forest Park,2440 HUNTS NECK TRL,,3447963.7452013,12209276.8909602,36.76617167,-76.02003066,City Park,
-76.027646683337096,36.76859059083101,507,24047808120000,Hunt Club Park,2122 GREY FOX LN,,3448785.62774389,12207023.6799155,36.76859059,-76.02764668,City Park,
-76.027834577656876,36.7641284196974,508,24047701380000,Hunters Run Park,2540 HUNTERS RUN TRL,,3447160.13525997,12207011.2009378,36.76412842,-76.02783458,City Park,
-76.162968948940843,36.815203354412539,509,14667418240000,Kempsville Park,832 KEMPSVILLE RD,,3464741.85304922,12166978.5474075,36.81520335,-76.16296895,City Park,
-76.054564196870857,36.851432186493284,510,14978837750000,Kenstock Park,2521 PERITAN RD,,3478731.52126405,12198360.5988165,36.85143219,-76.0545642,City Park,
-76.103938099507616,36.860416292137081,511,14883185740000,Kings Grant West Park,3797 KINGS GRANT RD,,3481631.03679046,12183835.7594279,36.86041629,-76.1039381,City Park,
-75.983971836593255,36.742772783683705,512,24230907950000,Lagomar Park,2701 ATWOODTOWN RD,,3439727.05366947,12220062.722735,36.74277278,-75.98397184,City Park,
-76.173511368706116,36.866411962348032,513,14683343310000,Lake Edward North Park,,,3483304.24308972,12163433.9275282,36.86641196,-76.17351137,City Park,
-76.171249684806867,36.864637779388516,514,14684217660000,Lake Edward Park,704 HAMPSHIRE LN STE P,,3482674.79782631,12164111.2867378,36.86463778,-76.17124968,City Park,
-76.049559235960345,36.782021297126811,515,24050354590000,Lake Placid Park,2420 MIRROR LAKE DR,,3453506.56318389,12200480.4347999,36.7820213,-76.04955924,City Park,
-76.143210825863491,36.887002852229259,516,14792019390000,Lakeview Shores Park,4712 MCKENZIE DR,,3491018.58527255,12172108.1103111,36.88700285,-76.14321083,City Park,
-76.069570570760064,36.810008615402019,517,14964335710000,Lamplight Manor Park,2933 AUGUSTA CIR,,3463541.45387521,12194359.5038003,36.81000862,-76.06957057,City Park,
-76.080776143936077,36.779616922066346,518,14951225350000,Landstown Lakes Park,3180 MONET DR,,3452395.6851563,12191363.6256057,36.77961692,-76.08077614,City Park,
-76.070594292654491,36.773032706425354,519,14954040740000,Landstown Meadows Park,1916 WINTER FOREST CT,,3450075.83677763,12194406.3091529,36.77303271,-76.07059429,City Park,
-76.083482071692799,36.774150924896844,520,14950064300000,Landstown Meadows West Park,3268 BARBERRY LN,,3450385.95623612,12190622.3301723,36.77415093,-76.08348207,City Park,
-76.128421096874732,36.814220989078365,521,14767426060000,Larkspur Greens Park,641 PINEBROOK DR,,3464636.49039905,12177097.7564997,36.81422099,-76.1284211,City Park,
-76.044770054872629,36.874199070285762,522,24081711230000,Laurel Cove Park,1321 PARKSIDE PL,,3487092.16825663,12201009.7979144,36.87419907,-76.04477005,City Park,
-76.175416878680053,36.878344789272603,523,14682786150000,Lawson Hall Park,5564 LAWSON HALL RD,,3487633.75706847,12162769.6939486,36.87834479,-76.17541688,City Park,
-76.21960967605041,36.828573598753231,524,14560932010000,Lecove Park,3458 GLEN ARDEN RD,,3469202.87956022,12150285.1985764,36.8285736,-76.21960968,City Park,
