name,@lat,@lon
Castaways Bar & Grill,39.2837893,-76.5853098
Smaltimore,39.2831763,-76.5804498
The Majestic,38.8239966,-77.0586126
Heavy Seas Beer,39.2320796,-76.6758041
Brookey's,39.3277475,-76.5657036
Oasis,39.2896498,-76.6094840
Java Moon Cafe,39.3075119,-76.6159730
Down Under Pub,38.6840962,-77.2602447
Dio Wine Bar,38.9003923,-76.9934442
DC Craft Brews,38.9453941,-77.4539788
United Club,38.9454693,-77.4452046
United Club,38.9454592,-77.4431173
Breaker's Sky Lounge,38.9499248,-77.4091513
Watering Hole,38.8793378,-77.0254092
Pearl Street Warehouse,38.8788327,-77.0240040
Bravo Bravo,38.9029189,-77.0392331
,38.4722822,-77.3778941
,39.2927807,-77.8507068
Nidos,38.9305449,-76.9737266
Free State,38.8984588,-77.0192399
Kalypso's Sports Tavern,38.9688565,-77.3407018
Midway Bar,39.2896532,-76.6093566
R bar,39.1569544,-76.7269865
Route 24 Ale House,39.4980904,-76.3264617
Left Door,38.9142540,-77.0315008
The Union Bar & Grill,39.3276950,-82.1021930
Union Trust,38.8998555,-77.0338922
J Bar,39.3304617,-82.1012621
Lucky's,39.3296465,-82.1013518
The Pub,39.3303955,-82.1012584
Pawpurrs,39.3303281,-82.1012610
The Pigskin,39.3301858,-82.1009498
The CI,39.3300403,-82.1009666
The Crystal,39.3300899,-82.1009643
Red Brick Tavern,39.3296677,-82.1010146
Cat's Eye,39.3296065,-82.1010173
The Hangover,39.3311474,-82.1011572
Hooka Lounge,39.3303610,-82.1007136
Wispers Mountainside Bar,39.5565288,-79.3628106
Brothers and Sisters,38.9227894,-77.0416213
The Brass Tap,39.4048018,-76.5987822
Moby’s,39.2830085,-76.5930495
DogWatch Tavern,39.2832053,-76.5930714
Rodos Bar,39.2830591,-76.5930503
Brass Rail,39.3415745,-78.7564733
The Marquee,38.9229305,-77.0540902
Micky's,39.2350818,-76.4564181
The Green Room,39.2843569,-76.4945317
SUKI HANA,39.1572471,-76.7257400
Kelly's Hot Spot,38.4529883,-81.9365071
A&D Bar,38.9077599,-77.0241401
Philip Carter Winery,38.8561811,-77.9908997
Cobbler Mountain Cellars,38.8483417,-77.9439724
Desert Rose Ranch and Winery,38.8402265,-78.0840000
Septenary,38.0419055,-78.7476946
Solace Brewing Company,38.9508775,-77.5282664
Terra 2,39.3176900,-76.6151591
Aspen Dale Winery at the Barn,38.9076614,-77.9615924
Lobby Bar,38.9243145,-77.0547939
Washington Pour Bar,38.8561708,-77.0422941
Vino Wine Bar & Shop,39.2814357,-76.5909618
The Point In Fells,39.2820289,-76.5913223
Cat’s Eye Pub,39.2820145,-76.5915485
Penny Black,39.2820562,-76.5910082
Urban Pirates,39.2812530,-76.5909538
H Bar,38.8786500,-77.0240825
SoBo Market,39.2714909,-76.6135746
Whiskey Charlie,38.8784044,-77.0237316
Betsy,38.8822160,-76.9944661
The Shack on 8th,36.8364958,-75.9721000
Fallout Shelter Craft Beer & Classic Arcade,39.6310764,-79.9557128
,38.8878966,-77.0751214
,38.8899214,-77.0715417
Service Bar DC,38.9168326,-77.0250287
Grain Rooftop Beer Garden,36.8463506,-76.2920250
Agave Lounge,36.9102111,-76.0742037
Bar,37.5531511,-77.4809487
PBR,36.8442436,-76.2916349
Blue Moon Taphouse,36.8440297,-76.2908141
The Yard,36.8443260,-76.2906045
The Harbor Club,36.8441802,-76.2912275
Starr Hill Market Bar,36.8443469,-76.2908321
VIN Wine Bar,36.8442193,-76.2908874
Rod 'n Reel Tavern,38.6905529,-76.5331918
Norfolk Tap Room,36.8465135,-76.2924117
Hell's Kitchen,36.8469220,-76.2919226
Grace O'Malleys,36.8483551,-76.2914614
Brick Anchor Brewhouse,36.8491395,-76.2910360
Pourhose of Norfolk,36.8495208,-76.2908074
Scotty Quixx,36.8521189,-76.2892154
Gershwins,36.8505542,-76.2899962
Tap It,36.8491505,-76.2906935
Mount Vernon Saloon,39.3000386,-76.6156715
District 5,37.5489220,-77.4655256
4th & Goal,39.6294351,-79.9554398
Liquid Lounge,39.6295898,-79.9552705
Culture Lounge,36.8570814,-76.2880185
Morini Piccolo,38.8729329,-77.0016567
Oygen,39.2891742,-76.6124410
Wit's End Saloon,39.4531245,-76.6411578
The Cellar at Chef Paolino Cafe,39.2767028,-76.8348947
Endless Trails Hookah Bar,37.1092644,-76.3930285
Cantina Bambina,38.8799059,-77.0263921
88 Restaurant & Lounge,38.9941730,-80.2256052
Centiennial Pub,38.9951407,-80.2326675
Dylan’s Oyster Cellar,39.3313310,-76.6292644
Skyline Cafe-Ethiopian Cuisine,38.8409513,-77.1201647
Red Star,39.3279221,-76.6162526
Maxie’s,39.3256032,-76.6170478
Baltimore Spirits Company,39.3359946,-76.6440414
World of Beer,39.4064388,-76.7816562
Walt's Inn,39.2802269,-76.5709669
The Thirsty Beaver,38.7384482,-82.9754221
PatRick’s Sports Bar & Grill,39.3090609,-76.4747121
444 Liquors,39.3084769,-76.4766714
Duck On Inn,39.3066279,-76.4796433
Rock-A-Billy's,39.3316602,-76.4435502
Billy Motel Bar,39.1297589,-79.4731852
The G.O.A.T.,38.8874284,-77.0948376
Pappas Sports Bar,39.2873808,-76.6198498
Naughty Scotties,37.2264534,-80.4088173
Suspended Brewery,39.2830093,-76.6314932
The Williamsburg Winery Tasting Room and Wine Bar,37.2711593,-76.7066082
Montego Bar & Grille,39.3104840,-76.6166521
Bean Bar,39.0900326,-77.5257386
Bar Louie,39.0516572,-77.4541461
World of Beer,39.0504967,-77.4539212
Apple Lounge Hookah Bar,38.9168190,-77.0276426
Hub Sports Bar & Grill,39.3248835,-76.5405107
Diamond Bar,38.8289315,-77.1930037
Hyatt,38.8909761,-77.0875363
Wilson hardware,38.8885502,-77.0937548
Brickhouse Tavern,37.2739629,-76.7123247
Legends,39.0408732,-77.0502399
Unplugged,39.0407250,-77.0504146
British Airways Lounge,38.9488749,-77.4509703
Lufthansa Lounge,38.9488748,-77.4509246
Turkish Airlines Lounge,38.9488825,-77.4495735
Virgin Atlantic Clubhouse,38.9488288,-77.4472976
Air France Lounge,38.9488382,-77.4455980
Eithad Airways Lounge,38.9486153,-77.4446744
,39.3125144,-77.8641103
The Lantern,38.4204873,-82.4450132
Summit Beer Station,38.4211343,-82.4441210
The Cellar Door Tapas Room,38.4218991,-82.4437426
The Peddler,38.4216958,-82.4448354
Green,38.4220056,-82.4362726
Port City Tavern,39.2859282,-76.5878048
Catbird,37.3018338,-78.3942884
Fox & Hounds Lounge,38.9108644,-77.0382685
Wrangler,39.5210526,-81.4161167
Valley Grill Sports Bar,39.4344218,-77.5289990
The Crown & Crow,38.9078763,-77.0315771
Citizen burger,38.8860594,-77.0945753
Big Fish Cider Company,38.4122225,-79.5829143
